key,where,placeholders,en,cs
recordsUnitGoals,Unit appended to a goal tally on a leaderboard.,,goals,gólů
recordsUnitCaps,Unit appended to a caps tally on a leaderboard.,,caps,startů
recordsUnitStarts,Unit appended to a World Championship starts tally.,,starts,startů
recordsUnitCups,Unit appended to a tournaments-attended tally.,,cups,turnajů
recordsUnitAssists,Unit appended to an assists tally on a leaderboard.,,assists,asistencí
recordsCapsCount,Legend tally: number of caps.,{count},{count} caps,{count} startů
recordsGoalsCount,Legend tally: number of goals.,{count},{count} goals,{count} gólů
recordsAssistsCount,Legend tally: number of assists.,{count},{count} assists,{count} asistencí
recordsMotmCount,Legend tally: number of man-of-the-match awards.,{count},{count} MOTM,{count} MOTM
recordsMatchesCount,Value for the longest-unbeaten team record.,{count},{count} matches,{count} zápasů
recordsMeetingsCount,Number of head-to-head meetings.,{count},{count} meetings,{count} zápasů
recordsCodeWins,Tally label: wins for the nation with this three-letter code.,{code},{code} wins,výhry {code}
recordsMeetingsWdl,Head-to-head summary line: meetings and win/draw/loss counts.,{meetings} {wins} {draws} {losses},{meetings} meetings · {wins}W {draws}D {losses}L,{meetings} zápasů · {wins}V {draws}R {losses}P
recordsWdl,Win/draw/loss record chunk used inside the rivalry summary.,{wins} {draws} {losses},{wins}W {draws}D {losses}L,{wins}V {draws}R {losses}P
recordsRivalLine,"Fiercest-rival summary line combining meetings, W-D-L record and edge phrase.",{meetings} {record} {edge},{meetings} meetings · {record} · {edge},{meetings} zápasů · {record} · {edge}
recordsNeverMet,Shown when two nations have no meetings in the save.,{a} {b},{a} and {b} have never met in this save.,{a} a {b} se v této hře nikdy nepotkali.
tacticsSentOffNote,"In-match tactics: names the player(s) sent off, who cannot be substituted.",{names},"{names} sent off. No replacement, so you play a man down.","{names} vyloučen. Bez náhrady, hrajete v oslabení."
tacticsNeedFitPlayers,Call-up screen: the squad is the right size but too few of its players are fit to field an XI.,{required} {have},Need {required} available ({have} fit),Potřeba {required} k dispozici ({have} fit)
tacticsMissesOfCamp,"Call-up row: how many of THIS squad's matches the player sits out, out of the matches it covers.",{missed} {total},Misses {missed}/{total},Chybí {missed}/{total}
tacticsOutForWholeCamp,"Call-up screen: shown when a player is tapped who cannot play in any of the matches this squad covers, so he may not be named.",,Out for this whole call-up,Chybí v celé této nominaci
rankingCentreOnMe,World ranking action: scroll back to the manager's own nation.,,Centre on my nation,Vycentrovat na můj tým
recordsAfterExtraTime,Marks a meeting that was decided in extra time.,,a.e.t.,po prodl.
recordsOnPenalties,"Marks a meeting decided by a penalty shootout, with the shootout score from the viewing nation's point of view.",{a} {b},{a}–{b} pens,{a}–{b} na pen.
recordsVersus,Heading pairing two nation names on the meetings list.,{a} {b},{a} vs {b},{a} vs {b}
recordsPlayedScore,Ledger row: matches played and aggregate goals for–against.,{played} {gf} {ga},{played} played · {gf}–{ga},{played} odehráno · {gf}–{ga}
recordsBiggestWinValue,Biggest-win team record: score and opponent name.,{gf} {ga} {opp},{gf}–{ga} v {opp},{gf}–{ga} s {opp}
recordsCouldNotLoad,Error state on the meetings list.,{error},Could not load.\n{error},Nepodařilo se načíst.\n{error}
recordsCouldNotLoadLegends,Error state on the legends screen.,{error},Could not load legends.\n{error},Nepodařilo se načíst legendy.\n{error}
recordsCouldNotLoadRecords,Error state on the records screens.,{error},Could not load records.\n{error},Nepodařilo se načíst rekordy.\n{error}
recordsCouldNotLoadNations,Error state when the nations list fails to load.,{error},Could not load nations.\n{error},Nepodařilo se načíst země.\n{error}
recordsCouldNotLoadYourRecord,Error state on the head-to-head ledger.,{error},Could not load your record.\n{error},Nepodařilo se načíst vaši bilanci.\n{error}
recordsCouldNotLoadRecord,Error state on a single head-to-head record.,{error},Could not load record.\n{error},Nepodařilo se načíst bilanci.\n{error}
recordsNoLegends,Empty state on the legends screen.,{nation},No legends yet. Play out some campaigns and {nation}’s greats will emerge here.,Zatím žádné legendy. Odehrajte několik kampaní a objeví se zde velikáni týmu {nation}.
recordsGreatestSide,Sub-heading under the all-time XI.,{nation},The greatest side {nation} could ever field.,"Nejlepší sestava, jakou kdy {nation} mohl postavit."
recordsNoWorldHistory,Empty state on the all-time world records screen.,,The world has no history yet. Play out some campaigns and the all-time greats will appear here.,Svět zatím nemá žádnou historii. Odehrajte několik kampaní a objeví se zde největší legendy.
recordsPlayToWriteHistory,Empty state on the record book.,{nation},Play some matches to start writing {nation}’s history.,Odehrajte nějaké zápasy a začněte psát historii týmu {nation}.
tacticsLineGk,"Short name for the goalkeepers line, on the call-up tabs.",,GK,BR
tacticsLineDef,"Short name for the defenders line, on the call-up tabs.",,DEF,OBR
tacticsLineMid,"Short name for the midfielders line, on the call-up tabs.",,MID,ZÁL
tacticsLineFwd,"Short name for the forwards line, on the call-up tabs.",,FWD,ÚT
tacticsGoalkeepers,Position-group heading on the call-ups list.,,GOALKEEPERS,BRANKÁŘI
tacticsDefenders,Position-group heading on the call-ups list.,,DEFENDERS,OBRÁNCI
tacticsMidfielders,Position-group heading on the call-ups list.,,MIDFIELDERS,ZÁLOŽNÍCI
tacticsForwards,Position-group heading on the call-ups list.,,FORWARDS,ÚTOČNÍCI
tacticsCallUpsTitle,App-bar title on the call-ups screen.,,CALL-UPS,NOMINACE
tacticsPickAtLeastPlayers,Snackbar when the squad is too small to save.,{min},Pick at least {min} players.,Vyberte alespoň {min} hráčů.
tacticsCouldNotLoadSquad,Error shown when the squad data fails to load.,{error},Could not load squad.\n{error},Nepodařilo se načíst kádr.\n{error}
tacticsNoSquad,Shown when there is no squad data.,,No squad.,Žádný kádr.
tacticsSquadCount,Header showing how many players are picked out of the maximum.,{count} {max},SQUAD · {count}/{max},KÁDR · {count}/{max}
tacticsMinMax,Minimum and maximum allowed squad size.,{min} {max},Min {min} · Max {max},Min {min} · Max {max}
tacticsBestQuality,Button that auto-picks the best available squad.,,Best quality,Nejlepší kvalita
tacticsPreviousSquad,Button that restores the previously named squad.,,Previous squad,Předchozí kádr
tacticsSquadLockedBack,Button shown when the squad is locked; returns to the previous screen.,,Back (squad locked),Zpět (kádr uzamčen)
tacticsConfirmSquad,Button that confirms and saves the picked squad.,,Confirm squad,Potvrdit kádr
tacticsSquadFullMax,Snackbar when trying to add past the squad limit.,{max},Squad full (max {max}),Kádr je plný (max {max})
tacticsSquadLocked,Banner heading when the squad cannot be changed.,,SQUAD LOCKED,KÁDR UZAMČEN
tacticsNominationOpen,Banner heading when the nomination window is open.,,NOMINATION OPEN. PICK YOUR SQUAD,NOMINACE OTEVŘENA. VYBERTE KÁDR
tacticsSquadFixedBlurb,Explanation shown when the squad is locked.,,This squad is fixed for the matches below. Re-select before the next nomination window.,Tento kádr je pevně daný pro zápasy níže. Znovu jej vyberte před dalším nominačním oknem.
tacticsSquadWillPlayBlurb,Explanation shown when the nomination window is open.,,This squad will play the matches below.,Tento kádr odehraje zápasy níže.
tacticsUnknown,Fallback name for an unknown opponent nation.,,Unknown,Neznámý
tacticsAgeValue,A player's age and market value in the call-ups list.,{age} {value},Age {age} · {value},Věk {age} · {value}
tacticsFatigueExhausted,Fatigue tag for an exhausted player.,,Exhausted,Vyčerpaný
tacticsFatigueTired,Fatigue tag for a tired player.,,Tired,Unavený
tacticsFatigueMatchLegs,Fatigue tag for a player carrying match fatigue.,,Match legs,Rozehraný
tacticsTooManySubs,Snackbar when the sub limit is exceeded in the in-match editor.,{max},Too many substitutions (max {max}).,Příliš mnoho střídání (max {max}).
tacticsMinuteTitle,"App-bar title of the in-match tactics editor, with the current minute.",{minute},TACTICS · {minute}',TAKTIKA · {minute}'
tacticsApply,Action that applies the in-match tactical changes.,,APPLY,POUŽÍT
tacticsTabLineupSubs,Tab for the pitch and bench in the in-match editor.,,LINEUP & SUBS,SESTAVA A STŘÍDÁNÍ
tacticsTabTactics,Tab for formation and instructions in the in-match editor.,,TACTICS,TAKTIKA
squadLineKeepers,Depth-chart heading for goalkeepers on the squad tab.,,KEEPERS,BRANKÁŘI
squadLineDefenders,Depth-chart heading for defenders on the squad tab.,,DEFENCE,OBRANA
squadLineMidfielders,Depth-chart heading for midfielders on the squad tab.,,MIDFIELD,ZÁLOHA
squadLineForwards,Depth-chart heading for forwards on the squad tab.,,ATTACK,ÚTOK
squadStatXiRating,Squad overview tile: mean overall of the starting eleven.,,XI rating,Hodnocení XI
squadStatAvgAge,Squad overview tile: mean age of the squad.,,Avg age,Prům. věk
squadStatSize,Squad overview tile: number of players available.,,Squad,Kádr
squadStatUnavailable,Squad overview tile: players injured or suspended.,,Out,Mimo hru
squadDepthTitle,Heading above the per-line squad depth chips.,,DEPTH BY LINE,ŠÍŘE KÁDRU PO ŘADÁCH
squadAgeShort,Compact age label on a squad row.,{age},{age}y,{age} let
tacticsSubstitutesCount,"Heading above the substitutes list, with the count.",{count},SUBSTITUTES · {count},NÁHRADNÍCI · {count}
tacticsSubsUsed,How many substitutions have been used out of the maximum.,{used} {max},SUBS · {used}/{max},STŘÍDÁNÍ · {used}/{max}
tacticsDragSubOn,Hint above the bench in the in-match editor.,,Drag a sub onto a player to bring them on.,Přetáhněte náhradníka na hráče a pošlete ho na hřiště.
tacticsNoSubs,Shown when the bench is empty.,,No substitutes available.,Žádní náhradníci k dispozici.
tacticsChooseShape,Heading of the formation picker sheet.,,CHOOSE A SHAPE,VYBERTE ROZESTAVENÍ
tacticsFormation,Heading above the formation selector.,,FORMATION,ROZESTAVENÍ
tacticsInstructions,Heading above the tactical instruction sliders.,,INSTRUCTIONS,POKYNY
tacticsDrilling,Label for the bar showing how well the side knows the shape it is playing.,,DRILLING,SEHRANOST
tacticsDrillingUnplayed,Familiarity band for a shape the side has never been fielded in.,,UNPLAYED,NEHRANÉ
tacticsDrillingNew,Familiarity band for a shape the side has only just started playing.,,NEW,NOVÉ
tacticsDrillingSettling,Familiarity band for a shape that is starting to take hold.,,SETTLING,SEHRÁVÁ SE
tacticsDrillingDrilled,Familiarity band for a shape the side knows inside out.,,DRILLED,SEHRANÉ
matchInstructionsLocked,"Shown in place of the instruction sliders during a live match, where they cannot be changed.",,"Set before kick-off. You can change shape and make substitutions, but not rewrite your approach mid-match.","Nastaveno před výkopem. Rozestavení a střídání měnit můžeš, ale herní styl už v průběhu zápasu ne."
tacticsInstrMentality,Instruction slider: overall mentality.,,Mentality,Mentalita
tacticsInstrDefensive,Low end of the mentality slider.,,Defensive,Defenzivní
tacticsInstrAttacking,High end of the mentality slider.,,Attacking,Ofenzivní
tacticsInstrPressing,Instruction slider: pressing intensity.,,Pressing,Presink
tacticsInstrLowBlock,Low end of the pressing slider.,,Low block,Nízký blok
tacticsInstrHighPress,High end of the pressing slider.,,High press,Vysoký presink
tacticsInstrTempo,Instruction slider: tempo.,,Tempo,Tempo
tacticsInstrPatient,Low end of the tempo slider.,,Patient,Trpělivé
tacticsInstrFast,High end of the tempo slider.,,Fast,Rychlé
tacticsInstrWidth,Instruction slider: width.,,Width,Šířka
tacticsInstrNarrow,Low end of the width slider.,,Narrow,Úzká
tacticsInstrWide,High end of the width slider.,,Wide,Široká
tacticsInstrDefLine,Instruction slider: defensive line (abbreviated).,,Def. line,Obr. linie
tacticsInstrDefensiveLine,Instruction slider: defensive line (full).,,Defensive line,Obranná linie
tacticsInstrDeep,Low end of the defensive-line slider.,,Deep,Hluboká
tacticsInstrHigh,High end of the defensive-line slider.,,High,Vysoká
tacticsInstrDirectness,Instruction slider: directness.,,Directness,Přímočarost
tacticsInstrPossession,Low end of the directness slider.,,Possession,Držení míče
tacticsInstrDirect,High end of the directness slider.,,Direct,Přímá hra
tacticsPickRole,Heading of the player-picker sheet for a given slot's role.,{role},PICK {role},VYBERTE {role}
tacticsRoleOutOfPosition,Subtitle noting a player is playing out of position.,{role},{role} · out of position,{role} · mimo pozici
tacticsAgeOnly,"A player's age alone, where his position is already shown as a chip beside it.",{age},Age {age},Věk {age}
tacticsRoleAge,A player's natural role and age.,{role} {age},{role} · Age {age},{role} · Věk {age}
tacticsOn,Chip marking a player already on the pitch.,,ON,HRAJE
tacticsSquad,Squad screen title and squad tab label.,,SQUAD,KÁDR
tacticsTabLineup,Tab showing the pitch and formation.,,LINEUP,SESTAVA
tacticsTabInstructions,Squad screen tab holding the playstyle and the team instruction dials.,,INSTRUCTIONS,POKYNY
tacticsTabRoles,Tab for assigning player roles.,,ROLES,ROLE
tacticsTabSetPieces,Tab for set-piece takers.,,SET PIECES,STANDARDNÍ SITUACE
tacticsTabRolesSetPieces,Merged tab: player roles and set-piece takers.,,ROLES & SET PIECES,ROLE A STANDARDKY
tacticsRolesSetPiecesBlurb,Blurb for the merged roles & set-pieces tab.,,Give each starter a role. Tap the penalty (⚽) or free-kick (▲) badge to set your taker.,Přiřaďte každému hráči roli. Klepnutím na odznak penalty (⚽) nebo přímého kopu (▲) určete vykonavatele.
tacticsTooltipCallUps,Tooltip for the call-ups action.,,Call-ups,Nominace
tacticsTooltipPresets,Tooltip for the tactic-presets action.,,Tactic presets,Uložené taktiky
tacticsTooltipInstructions,Tooltip for the team-instructions action.,,Instructions,Pokyny
tacticsNoTacticSet,Shown when there is no tactic data.,,No tactic set.,Žádná taktika není nastavena.
tacticsReplaceStarters,Warning naming how many unavailable starters must be replaced.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, one{REPLACE {count} STARTER} other{REPLACE {count} STARTERS}}","{count, plural, one{NAHRAĎTE {count} HRÁČE V SESTAVĚ} few{NAHRAĎTE {count} HRÁČE V SESTAVĚ} many{NAHRAĎTE {count} HRÁČE V SESTAVĚ} other{NAHRAĎTE {count} HRÁČŮ V SESTAVĚ}}"
tacticsPlayerOut,An unavailable player and the reason they are out.,{name} {reason},{name}: {reason},{name}: {reason}
tacticsOut,Fallback reason for an unavailable player.,,Out,Nehraje
tacticsTapSpotReplace,Hint on how to replace an unavailable starter.,,Tap their spot on the pitch to pick a replacement.,Klepněte na jeho místo na hřišti a vyberte náhradu.
tacticsTapOrDrag,Hint above the pitch on how to edit the XI.,,"Tap a player to swap them out, or hold and drag one to move them.","Klepnutím hráče vyměníte, podržením a tažením ho přesunete."
tacticsPlayerRoles,Heading of the roles tab.,,PLAYER ROLES,ROLE HRÁČŮ
tacticsRolesBlurb,Explanation of what player roles do.,,"Give a player a job: a poacher, a playmaker, a target man. Shapes who scores and who creates.","Dejte hráči úkol: lovec gólů, rozehrávač, cílový hrot. Ovlivňuje, kdo střílí a kdo tvoří."
tacticsSetPieceTakers,Heading of the set-pieces tab.,,SET-PIECE TAKERS,EXEKUTOŘI STANDARDEK
tacticsSetPieceBlurb,Explanation of the set-piece takers.,,"Who takes penalties and dead balls, or leave it to the best-suited player.","Kdo kope penalty a standardky, nebo to nechte na nejvhodnějším hráči."
tacticsTakerAuto,Marker on a set-piece slot nobody has been named for: the engine picks the best-suited man.,,Automatic,Automaticky
tacticsPenalties,Set-piece situation: penalties.,,Penalties,Penalty
tacticsCornersFreeKicks,Set-piece situation: corners and free-kicks.,,Corners & free-kicks,Rohy a volné kopy
tacticsSkillFin,Abbreviated skill label for finishing/shooting.,,FIN,ZAK
tacticsSkillPas,Abbreviated skill label for passing.,,PAS,PŘI
tacticsRolePlayer,Heading of the role-picker sheet for a player.,{name},ROLE · {name},ROLE · {name}
tacticsPenaltyTaker,Heading of the penalty-taker picker.,,PENALTY TAKER,EXEKUTOR PENALT
tacticsCornerFreeKickTaker,Heading of the corner/free-kick taker picker.,,CORNER & FREE-KICK TAKER,EXEKUTOR ROHŮ A VOLNÝCH KOPŮ
tacticsAutomatic,Option letting the game pick the best-suited taker.,,Automatic,Automaticky
tacticsLetBestSuited,Subtitle of the Automatic set-piece option.,,Let the best-suited player take it.,Nechte to na nejvhodnějším hráči.
tacticsInXi,Chip marking a player already in the starting XI.,,IN XI,V SESTAVĚ
tacticsTeamInstructions,Heading of the instructions sheet.,,TEAM INSTRUCTIONS,TÝMOVÉ POKYNY
tacticsTeamInstructionsBlurb,Intro on the instructions sheet.,,Set how your side plays. Each dial nudges the whole team.,"Nastavte, jak váš tým hraje. Každý posuvník ovlivní celý tým."
tacticsSavedPreset,Snackbar confirming a preset was saved.,{name},Saved “{name}”,Uloženo „{name}“
tacticsAppliedPreset,Snackbar confirming a preset was applied.,{name},Applied “{name}”,Použito „{name}“
